,date,1. open,2. high,3. low,4. close
GBPUSD,2024-01-22,1.26889,1.27327,1.26859,1.27079
GBPUSD,2024-01-19,1.27051,1.27146,1.26608,1.27008
GBPUSD,2024-01-18,1.26753,1.27082,1.26476,1.27047
GBPUSD,2024-01-17,1.26365,1.26962,1.25961,1.26748
GBPUSD,2024-01-16,1.27263,1.27292,1.26188,1.26365
GBPUSD,2024-01-15,1.27479,1.27652,1.27126,1.27274
GBPUSD,2024-01-12,1.27577,1.27856,1.27191,1.27473
GBPUSD,2024-01-11,1.27421,1.27824,1.26896,1.27628
GBPUSD,2024-01-10,1.27088,1.2744,1.26858,1.2742
GBPUSD,2024-01-09,1.27484,1.27648,1.26889,1.27098
GBPUSD,2024-01-08,1.27202,1.27671,1.26729,1.27472
GBPUSD,2024-01-05,1.26819,1.27709,1.26106,1.27173
GBPUSD,2024-01-04,1.26636,1.27298,1.26564,1.26818
GBPUSD,2024-01-03,1.26165,1.26766,1.2611,1.26645
GBPUSD,2024-01-02,1.27242,1.27599,1.26103,1.26149
GBPUSD,2024-01-01,1.2729,1.273,1.2709,1.2723
GBPUSD,2023-12-29,1.27328,1.27726,1.26999,1.273
GBPUSD,2023-12-28,1.27971,1.28275,1.27119,1.27314
GBPUSD,2023-12-27,1.27241,1.28024,1.26981,1.27979
GBPUSD,2023-12-26,1.2687,1.27304,1.26831,1.27241
GBPUSD,2023-12-25,1.2697,1.2715,1.26791,1.2684
GBPUSD,2023-12-22,1.26882,1.27442,1.26757,1.2693
GBPUSD,2023-12-21,1.26387,1.26958,1.26118,1.26893
GBPUSD,2023-12-20,1.27317,1.27347,1.26244,1.26376
GBPUSD,2023-12-19,1.2646,1.27617,1.26358,1.27321
GBPUSD,2023-12-18,1.26851,1.27041,1.2628,1.26479
GBPUSD,2023-12-15,1.27644,1.27904,1.2668,1.26725
GBPUSD,2023-12-14,1.2616,1.27939,1.26117,1.27652
GBPUSD,2023-12-13,1.25624,1.26344,1.24998,1.26178
GBPUSD,2023-12-12,1.25534,1.26156,1.25136,1.25628
GBPUSD,2023-12-11,1.25358,1.25908,1.25287,1.25549
GBPUSD,2023-12-08,1.25907,1.26013,1.25018,1.25445
GBPUSD,2023-12-07,1.25574,1.26126,1.2544,1.25925
GBPUSD,2023-12-06,1.25939,1.26134,1.25512,1.25594
