,symbol,date,1. open_x,2. high_x,3. low_x,4. close_x,5. volume,daily_return,currencyPair,1. open_y,2. high_y,3. low_y,4. close_y
620,GOOGL,2024-01-16,142.0,144.35,141.45,142.49,22670467.0,0.721000918922754,GBPUSD,1.27263,1.27292,1.26188,1.26365
621,AAPL,2024-01-12,186.06,186.74,185.19,185.92,40477782.0,1.2470729183684526,EURUSD,1.09715,1.0987,1.09356,1.09483
622,AAPL,2024-01-12,186.06,186.74,185.19,185.92,40477782.0,1.2470729183684526,USDJPY,145.266,145.566,144.349,144.904
623,AAPL,2024-01-12,186.06,186.74,185.19,185.92,40477782.0,1.2470729183684526,GBPUSD,1.27577,1.27856,1.27191,1.27473
624,MSFT,2024-01-12,385.49,388.68,384.65,388.47,21661153.0,-0.46121915596892826,EURUSD,1.09715,1.0987,1.09356,1.09483
625,MSFT,2024-01-12,385.49,388.68,384.65,388.47,21661153.0,-0.46121915596892826,USDJPY,145.266,145.566,144.349,144.904
626,MSFT,2024-01-12,385.49,388.68,384.65,388.47,21661153.0,-0.46121915596892826,GBPUSD,1.27577,1.27856,1.27191,1.27473
627,GOOGL,2024-01-12,142.67,143.195,141.82,142.65,18785514.0,0.11228858165484024,EURUSD,1.09715,1.0987,1.09356,1.09483
628,GOOGL,2024-01-12,142.67,143.195,141.82,142.65,18785514.0,0.11228858165484024,USDJPY,145.266,145.566,144.349,144.904
629,GOOGL,2024-01-12,142.67,143.195,141.82,142.65,18785514.0,0.11228858165484024,GBPUSD,1.27577,1.27856,1.27191,1.27473
630,AAPL,2024-01-11,186.54,187.05,183.62,185.59,49128408.0,-0.1774956970740038,EURUSD,1.09722,1.09999,1.093,1.09723
631,AAPL,2024-01-11,186.54,187.05,183.62,185.59,49128408.0,-0.1774956970740038,USDJPY,145.746,146.415,144.968,145.28
632,AAPL,2024-01-11,186.54,187.05,183.62,185.59,49128408.0,-0.1774956970740038,GBPUSD,1.27421,1.27824,1.26896,1.27628
633,MSFT,2024-01-11,386.0,390.68,380.38,384.63,27850846.0,-0.9884933199474921,EURUSD,1.09722,1.09999,1.093,1.09723
634,MSFT,2024-01-11,386.0,390.68,380.38,384.63,27850846.0,-0.9884933199474921,USDJPY,145.746,146.415,144.968,145.28
635,MSFT,2024-01-11,386.0,390.68,380.38,384.63,27850846.0,-0.9884933199474921,GBPUSD,1.27421,1.27824,1.26896,1.27628
636,GOOGL,2024-01-11,143.49,145.22,140.635,142.08,24008722.0,-0.39957939011566745,EURUSD,1.09722,1.09999,1.093,1.09723
637,GOOGL,2024-01-11,143.49,145.22,140.635,142.08,24008722.0,-0.39957939011566745,USDJPY,145.746,146.415,144.968,145.28
638,GOOGL,2024-01-11,143.49,145.22,140.635,142.08,24008722.0,-0.39957939011566745,GBPUSD,1.27421,1.27824,1.26896,1.27628
639,AAPL,2024-01-10,184.35,186.4,183.92,186.19,46792908.0,0.3232932808879818,EURUSD,1.09294,1.09731,1.09226,1.09724
640,AAPL,2024-01-10,184.35,186.4,183.92,186.19,46792908.0,0.3232932808879818,USDJPY,144.464,145.831,144.31,145.755
641,AAPL,2024-01-10,184.35,186.4,183.92,186.19,46792908.0,0.3232932808879818,GBPUSD,1.27088,1.2744,1.26858,1.2742
642,MSFT,2024-01-10,376.37,384.17,376.32,382.77,25514245.0,-0.4835816238982993,EURUSD,1.09294,1.09731,1.09226,1.09724
643,MSFT,2024-01-10,376.37,384.17,376.32,382.77,25514245.0,-0.4835816238982993,USDJPY,144.464,145.831,144.31,145.755
644,MSFT,2024-01-10,376.37,384.17,376.32,382.77,25514245.0,-0.4835816238982993,GBPUSD,1.27088,1.2744,1.26858,1.2742
645,GOOGL,2024-01-10,141.0,143.0,140.91,142.28,21320203.0,0.14076576576576016,EURUSD,1.09294,1.09731,1.09226,1.09724
646,GOOGL,2024-01-10,141.0,143.0,140.91,142.28,21320203.0,0.14076576576576016,USDJPY,144.464,145.831,144.31,145.755
647,GOOGL,2024-01-10,141.0,143.0,140.91,142.28,21320203.0,0.14076576576576016,GBPUSD,1.27088,1.2744,1.26858,1.2742
648,AAPL,2024-01-09,183.92,185.15,182.73,185.14,42841809.0,-0.5639400612277856,EURUSD,1.09501,1.09663,1.09101,1.0931
649,AAPL,2024-01-09,183.92,185.15,182.73,185.14,42841809.0,-0.5639400612277856,USDJPY,144.224,144.623,143.416,144.47
650,AAPL,2024-01-09,183.92,185.15,182.73,185.14,42841809.0,-0.5639400612277856,GBPUSD,1.27484,1.27648,1.26889,1.27098
651,MSFT,2024-01-09,372.01,375.99,371.19,375.79,20829953.0,-1.8235493899730781,EURUSD,1.09501,1.09663,1.09101,1.0931
652,MSFT,2024-01-09,372.01,375.99,371.19,375.79,20829953.0,-1.8235493899730781,USDJPY,144.224,144.623,143.416,144.47
